Name,Type,N,h,d,reg_param,rho_r,alpha,phi_c,theta,eta_f,t_step
dil9_5deg_low_phi_small.txt,dil,200,0.004,1.43E-05,1000000,2.5,0.0392,0.6,9.5,0.0013,1
dil9_5deg_init_elastic.txt,dil,200,0.004,1.43E-05,1000000,2.5,0.0392,0.6,9.5,0.0013,100
dil9_5deg_high_p_small.txt,dil,200,0.004,1.43E-05,1000000,2.5,0.0392,0.6,9.5,0.0013,10
pe_driv_5deg.txt,pdriv,200,0.004,1.43E-05,1000000,2.5,0.0392,0.6,5,0.0013,50
dil9deg_slowing_flow.txt,dil,200,0.004,1.43E-05,1000000,2.5,0.0392,0.6,9,0.0013,100
dil5deg_slowing.txt,dil,200,0.004,1.43E-05,10000000,2.5,0.03924,0.6,5,0.001264066218475,1
dil9deg_slowing_long.txt,dil,200,0.004,1.43E-05,10000000,2.5,0.03924,0.6,9,0.001264066218475,1000
dil15deg_acc.txt,dil,200,0.004,1.43E-05,10000000,2.5,0.03924,0.6,15,0.001264066218475,1000
dil9deg_slowing_short.txt,dil,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,9,0.001264066218475,10
dil20deg_acc.txt,dil,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,20,0.001264066218475,10
dil9deg_slowing_20.txt,dil,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,9,0.001264066218475,10
dil9deg_slowing_fast_up.txt,dil,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,9,0.001264066218475,10
dil9deg_slowing_big_alpha.txt,dil,200,0.004,1.43E-05,100000000,2.5,0.003924,0.6,9,0.001264066218475,10
dil9deg_slowing_large_dilatancy.txt,dil,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,9,0.001264066218475,10
sin9deg_slowing_15.txt,sin,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,9,0.001264066218475,10
pe_driv10deg_steady_state.txt,pdriv,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,10,0.001264066218475,10
pe_drivflatsettle.txt,pdriv,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,0,0.001264066218475,100
pcon_5deg_static.txt,pcon,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,5,0.001264066218475,1
slower_p_evo_data.txt,pdriv,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,5,0.001264066218475,10
pcon_5deg_deposit.txt,pdriv,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,5,0.001264066218475,10
pcon_5deg_params1.txt,pcon,200,0.004,0.000143,100000000,2.5,0.03924,0.6,5,0.001264066218475,0.01
pcon_5deg_params2.txt,pcon,200,0.004,4.52205705404078E-05,100000000,2.5,0.03924,0.6,5,0.001264066218475,0.01
pcon_5deg_params3.txt,pcon,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,5,0.001264066218475,0.01
dil_15deg_deep_ss.txt,dil,200,0.4,1.43E-05,10000000,2.5,3.924,0.6,15,1.26406621847477E-06,10
dil_9deg_deep_slowing.txt,dil,200,0.4,0.00143,10000000,2.5,3.924,0.6,9,1.26406621847477E-06,10
dil_9deg_deep_big_particle.txt,dil,200,0.4,0.00143,10000000,2.5,3.924,0.6,10,1.26406621847477E-06,10
dil_10deg_deep_big_particle.txt,dil,200,0.4,0.00143,10000000,2.5,3.924,0.6,10,1.26406621847477E-06,10
dil_15deg_deep_big_particle_ss.txt,dil,200,0.4,0.00143,10000000,2.5,3.924,0.6,15,1.26406621847477E-06,10
dil_15deg_deep_smaller.txt,dil,200,0.4,0.000143,10000000,2.5,3.924,0.6,15,1.26406621847477E-06,10
dil_9deg_deep_smaller_slowing.txt,dil,200,0.4,0.000143,10000000,2.5,3.924,0.6,9,1.26406621847477E-06,10
dil_15deg_deep_smaller_Iv.txt,dil,200,0.4,0.000143,10000000,2.5,3.924,0.6,15,1.26406621847477E-06,10
dil_9deg_deep_smaller_Iv.txt,dil,200,0.4,0.000143,10000000,2.5,3.924,0.6,9,1.26406621847477E-06,10
dil_9deg_deep_depth_ave_comp.txt,dil,200,0.4,0.00143,100000000,2.5,3.924,0.6,9,1.26406621847477E-06,1
dil_9deg_low_init_phi.txt,dil,200,0.004,1.43E-05,10000000,2.5,0.03924,0.6,9.5,0.001264066218475,1000
dil_9deg_high_init_u.txt,dil,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,9.5,0.001264066218475,1
dil_9_5deg_high_init_u.txt,dil,200,0.004,1.43E-05,100000000,2.5,0.03924,0.6,9.5,0.001264066218475,10
