Name,wave_type,fluid,Fr,theta,alpha,d,tau0,u_w,lambda,crit_xi,chop_lambda
var_rho_master_pres_h.txt,var_rho,water,0.8,12,1e-05,0.0001,0,2.5116,11.7957,7.8145,0
low_Fr_low_theta_tau0.txt,full,water,0.8,12,1e-05,0.0001,0,2.5714,12.9803,8.7075,0
master_pres_h.txt,full_no_vis,water,0.8,12,1e-05,0.0001,0,2.5214,12,7.9684,0
master_pres_h_chop.txt,chop_pres_h,water,0.8,12,1e-05,0.0001,0,2.5214,12,7.9684,11.9721
master_pres_h_chop2.txt,chop_pres_h,water,0.8,12,1e-05,0.0001,0,2.5244,12,7.9461,0
lambda_high_chop_fail.txt,chop_pres_h,water,0.8,12,1e-05,0.0001,0,2.5807,13.427,9.0508,13.4058
time_dep_match.txt,full_no_vis,water,0.80044,12,1e-05,0.0001,0,2.5248,12,7.9617,0
time_dep_match_min_h.txt,full_no_vis,water,0.80044,12,1e-05,0.0001,0,2.5191,11.956,7.9336,0
theta_12_Fr_push.txt,full_no_vis,water,3,12,1e-05,0.0001,0,4.3054,12,5.7929,0
theta_12_Fr_1point5.txt,full_no_vis,water,1.5,12,1e-05,0.0001,0,3.0882,12,6.3573,0
theta_push_Fr_1point5.txt,full_no_vis,water,1.5,10,1e-05,0.0001,0,3.6253,12,6.2204,0
alpha_increase.txt,full_no_vis,water,0.8,10,0.001,0.0001,0,2.573,12,6.3243,0
report_full_demo.txt,full_no_vis,water,1,12,1e-05,0.0001,0,3.503,15,8.6463,0
:.txt,full,water,0.8,12,1e-05,0.0001,0,2.5589,12.7141,8.5045,0
check_model.txt,full_no_vis,water,0.8,12,1e-05,0.0001,0,2.5251,12,7.96316,0
var_rho_master_long.txt,var_rho,water,0.6,12,1e-05,0.0001,0,3.6876,75.1163,68.962,0
new_out.txt,full,water,0.9967,12,1e-05,0.0001,0,3.7378,15.0825,8.5607,0
